icdcode	orphacode	Diagnosebezeichnung	Orpha.Klassifikationsebene
M61.1	337	Fibrodysplasia ossificans progressiva	Disorder
M61.5	2762	Progressive ossäre Heteroplasie	Disorder
M72.4	477742	Pseudosarkomatöse Fibromatose	Disorder
M72.8	199260	Juveniles aponeurotisches Fibrom	Disorder
M80.5	391330	X-chromosomale Osteoporose mit pathologischer Fraktur	Disorder
M85.0	93277	Monostotische fibröse Dysplasie	Subtype of disorder
M85.31	57196	Kondensierende Osteitis der medialen Klavikula	Disorder
M85.4	83468	Solitäre Knochenzyste	Disorder
M85.5	480553	Aneurysmatische Knochenzyste	Disorder
M85.8	2485	Melorheostose	Disorder
M85.81	178311	Isolierte sternokostoklavikuläre Hyperostose	Disorder
M87.0	399307	Idiopathische avaskuläre Nekrose	Disorder
M87.1	399158	Knochennekrose durch Arzneimittel	Group of disorders
M87.2	399175	Traumatische avaskuläre Nekrose	Disorder
M87.35	399180	Sekundäre nicht-traumatische avaskuläre Femurkopfnekrose	Disorder
M87.85	86820	Familiäre avaskuläre Nekrose des Femurkopfes	Disorder
M88.80	2801	Juveniles Paget-Syndrom, mehrere Lokalisationen	Disorder
M89.48	1525	Kranio-Osteoarthropathie	Disorder
M91.1	2380	Calvé-Legg-Perthes-Krankheit	Disorder
M92.7	564003	Freiberg-Infraktion	Disorder
M93.0	399329	Epiphysenlösung des Femurkopfes	Disorder
M93.1	97332	Adulte Osteochondrose des Os lunatum der Hand	Disorder
M93.2	251262	Familiäre Osteochondrosis dissecans	Disorder
M94.1	728	Panchondritis	Disorder
N02.8	34145	Berger-Krankheit	Disorder
N05.5	54370	Membranoproliferative Glomerulonephritis	Disorder
N07.1	2613	Salcedo-Syndrom	Disorder
N07.8	329481	Lipoprotein-Glomerulopathie	Disorder
N25.1	223	Arginin-Vasopressin-Resistenz	Disorder
N48.30	140949	Priapismus vom Low-Flow-Typ	Disorder
N80.4	137820	Endometriose des Septum rectovaginale	Disorder
N80.5	137820	Darmendometriose	Disorder
N80.6	137820	Endometriose in Hautnarbe	Disorder
N98.1	64739	Hyperstimulation des Ovars	Disorder
O01.0	254688	Klassische Blasenmole	Subtype of disorder
O01.1	254693	Inkomplette Blasenmole	Subtype of disorder
O14.0	275555	Leichte Präeklampsie	Disorder
O14.1	275555	Hypertonie bei Schwangerschaft mit schwerer Albuminurie	Disorder
O14.2	244242	Gravidität mit HELLP [Hemolysis, elevated liver function test, low platelet counts]-Syndrom	Disorder
O26.4	63275	Betreuung der Schwangeren bei Herpes gestationis	Disorder
O26.60	69665	Cholestase in der Schwangerschaft	Disorder
O43.21	662721	Placenta increta	Disorder
O69.4	662786	Blutung der Vasa praevia	Disorder
O90.3	563	Kardiomyopathie im Wochenbett	Disorder
P24.0	70588	Mekoniumaspiration	Disorder
P27.1	70589	Bronchopulmonale Dysplasie	Disorder
P35.0	290	Angeborene Pneumonie durch Röteln	Disorder
P35.1	294	Angeborene Zytomegalie	Disorder
P35.2	293	Angeborene Infektion durch Herpesviren	Disorder
P35.4	448237	Angeborene Zika-Viruskrankheit	Disorder
P57.8	529808	Chronische Bilirubin-Enzephalopathie	Disorder
P72.8	329942	Transitorischer neonataler multipler Acyl-CoA-Dehydrogenase-Mangel	Disorder
P74.5	3402	Neonatale transiente Tyrosinämie	Disorder
P91.6	137577	HIE [Hypoxisch-ischämische Enzephalopathie] beim Neugeborenen	Disorder
P94.0	391504	Transiente neonatale Myasthenia gravis	Subtype of disorder
Q00.1	63260	Kraniorhachischisis	Disorder
Q00.2	63259	Inienzephalie	Disorder
Q01.0	1931	Frontale Enzephalozele	Subtype of disorder
Q01.1	141118	Nasofrontale Enzephalozele	Subtype of disorder
Q01.2	268823	Okzipitale Enzephalozele	Subtype of disorder
Q04.4	3157	De-Morsier-Syndrom	Disorder
Q11.0	519384	Cystic eyeball	Disorder
Q18.4	141276	Kongenitale Makrostomie	Disorder
Q20.0	3384	Angeborener Truncus arteriosus communis	Disorder
Q20.2	3427	Double outlet left ventricle	Disorder
Q21.4	2037	Agenesie des Septum aortopulmonale	Disorder
Q22.5	1880	Ebstein-Anomalie	Disorder
Q22.9	98721	Kongenitale Trikuspidalklappenanomalie	Group of disorders
Q24.0	1666	Dextrokardie	Disorder
Q24.1	95854	Isolierte Lävokardie	Disorder
Q24.3	3190	Infundibuläre Pulmonalarterienstenose	Subtype of disorder
Q24.6	60041	Angeborener Herzblock	Disorder
Q26.2	99125	Kongenitale totale Lungenvenen Fehleinmündung	Disorder
Q28.18	981	Agenesie der Arteria carotis interna	Disorder
Q28.29	46724	Arteriovenöse Fehlbildung des Gehirns	Disorder
Q31.5	2373	Angeborene Laryngomalazie	Disorder
Q32.0	95430	Angeborene Tracheomalazie	Disorder
Q35.3	99772	Gaumensegelspalte	Disorder
Q35.7	99771	Mangelhafter Uvulaverschluss	Disorder
Q36.0	199302	Beidseitige Lippenspalte	Disorder
Q41.8	1201	Jejunoileale Atresie	Disorder
Q44.2	30391	Angeborener undurchgängiger Gallengang	Disorder
Q44.4	480501	Angeborene Choledochuszyste	Disorder
Q45.1	675	Pancreas anulare	Disorder
Q45.2	313906	Angeborene Pankreaszyste	Disorder
Q51.0	180142	Angeborenes Fehlen des Uterus	Disorder
Q51.5	180145	Agenesie der Cervix uteri	Disorder
Q52.0	96269	Angeborenes Fehlen der Vagina	Disorder
Q54.2	95706	Penoskrotale Hypospadie	Disorder
Q54.3	95706	Perineale Hypospadie	Disorder
Q55.5	49	Angeborenes Fehlen des Penis	Disorder
Q60.1	1848	Angeborenes beidseitiges Fehlen der Niere	Subtype of disorder
Q60.2	411709	Angeborenes Fehlen der Niere	Disorder
Q60.3	97361	Angeborene einseitige Nierenatrophie	Subtype of disorder
Q61.1	731	ARPKD [Autosomal-rezessive polyzystische Nierenkrankheit]	Disorder
Q62.2	617	Angeborene Ureterdilatation	Disorder
Q64.1	93930	Blasenekstrophie	Subtype of disorder
Q71.0	294967	Agenesie der oberen Gliedmaßen	Disorder
Q71.1	294975	Agenesie der oberen Gliedmaßen bei vorhandener Hand	Disorder
Q71.2	294979	Angeborenes Fehlen von Unterarm und Hand	Disorder
Q72.1	294977	Angeborenes Fehlen von Oberschenkel und Unterschenkel bei vorhandenem Fuß	Disorder
Q72.2	294981	Agenesie von Unterschenkel und Fuß	Disorder
Q72.5	93322	Longitudinaler Reduktionsdefekt der Tibia	Disorder
Q72.6	93323	Fibulaagenesie	Disorder
Q78.0	666	Osteogenesis Imperfecta	 Disorder
Q78.3	1328	Camurati-Engelmann-Krankheit	Disorder
Q78.6	321	Angeborene multiple Exostosen	Disorder
Q79.2	660	Exomphalus	Disorder
Q79.3	2368	Bauchwandspalte	Disorder
Q79.4	2970	Bauchdeckenaplasiesyndrom	Disorder
Q81.1	79404	Epidermolysis bullosa atrophicans generalisata gravis	Disorder
Q82.3	464	Bloch-Siemens-Syndrom	Disorder
Q83.0	180188	Amastie mit angeborenem Fehlen der Brustwarze	Disorder
Q83.3	2456	Akzessorische Brustwarze	Disorder
Q86.0	1915	Alkoholembryopathie	Disorder
Q86.2	1914	Angeborenes Fehlbildungssyndrom durch Warfarin	Disorder
Q86.80	3312	Thalidomid-Embryopathie	Disorder
Q87.8	110	Bardet-Biedl-Syndrom	
Q90.0	870	Trisomie 21, meiotische Non-disjunction	Disorder
Q90.1	870	Trisomie 21, Mosaik, mitotische Non-disjunction	Disorder
Q90.2	870	Down-Syndrom, Translokation	Disorder
Q90.9	870	Down-Syndrom	Disorder
Q91.0	3380	Trisomie 18, meiotische Non-disjunction	Disorder
Q91.1	3380	Trisomie 18, Mosaik, mitotische Non-disjunction	Disorder
Q91.2	3380	Trisomie 18, Translokation	Disorder
Q96.1	99413	Karyotyp 46,X iso (Xq)	Subtype of disorder
Q96.2	99413	Karyotyp 46,X mit Gonosomenanomalie, ausgenommen iso (Xq)	Subtype of disorder
Q96.4	99228	Mosaik 45,X/Zelllinien mit Gonosomenanomalie	Subtype of disorder
Q96.8	444048	46,XX-Ovarialdysgenesie-Kleinwuchs-Syndrom	Disorder
Q98.5	8	47,XYY-Syndrom	Disorder
